film.title	year	imdb	format	languages	NTSC/PAL	duration	source	info	N.	NEW
Anno 2053 - la grande fuga	1991	tt0104981	DVD9	ITA 2.0/ITA 5.1	PAL	1h43m20s	DVD	full DVD	0	false
Anno zero - Guerra nello spazio	1977	tt0149677	DVD5	ITA	PAL	---	TV	none	90	false
Argos alla riscossa (Santo vs. las mujeres vampiro)	1962	tt0055408	DVD5	ITA	PAL	1h17m25s	TV	none	189	false
Argos alla riscossa (Santo vs. las mujeres vampiro)	1962	tt0055408	DVD5	ITA	PAL	1h26m22s + 1h15m35s	DVD	full DVD + extras	0	false
Argos il fantastico superman (Santo contra los asesinos de la mafia)	1970	tt0066085	DVD5	ITA	PAL	1h22m06s	VHS	none	190	false
Asi Kabaday (Turkish Wolverine)	1986	tt1694051	DVD5	TUR/ITAsub	PAL	---	VHS	TD#02	109	false
Aska susayanlar seks ve cinayet (Turkish Lo strano vizio della signora Wardh)	1972	tt1024894	DVD9	TUR/ENGsub	PAL	---	DVD	none	137	false
Ator il guerriero di ferro	1987	tt0093276	DVD9	ITA/ENG/ENGsub	PAL	1h23m53s	DVD	full DVD	298	false
Atragon	1963	tt0057215	DVD5	ITA/JAP	PAL	1h31m38s	DVD	[ASIA] full DVD	538	false
Attacco alla base spaziale US	1954	tt0047033	DVD5	ITA/ITAsub	PAL	1h19m06s	DVD	full DVD	328	false
Avventura sul Mar Nero	1972	tt0157336	DVD5	ITA	PAL	1h46m57s	TV	none	466	false
Baby love	1979	tt0078819	DVD5	ITA	PAL	1h30m59s	Telecine	none	13	false
Badi (Turkish E.T.)	1983	tt0334917	DVD5	TUR/ITAsub	PAL	---	TV	TD#01	108	false
Bajrangbali	1976	tt0157845	DVD9	HIN/ENGsub	NTSC	3h09m47s	DVD	[ASIA] full DVD	581	false
Bandidos	1967	tt0062706	DVD5	ITA/ENG	PAL	1h30m57s	DVD	full DVD + extras	521	false
Banditi a Milano	1968	tt0062707	DVD5	ITA/ENG	PAL	1h34m30s	Telecine	none	516	false
Baracca e burattini	1954	tt0046751	DVD5	ITA	PAL	1h14m52s	VHS	none	667	false
Baracca e burattini	1954	tt0046751	DVD5	ITA	PAL	1h15m21s	VHS	none	639	false
Barbagia (La società del malessere)	1969	tt0064069	DVD5	ITA/ENG	PAL	1h34m05s	VHS	custom uncut composite	625	false
Batouk - Africa che muore	1967	tt0218026	DVD5	ITA	PAL	1h10m19s	DVD	full DVD	755	false
Battaglie negli spazi stellari	1978	tt0075881	DVD5	ITA	PAL	---	VHS	none	85	false
Batwoman - L'invincibile superdonna	1968	tt0235608	DVD5	ITA	PAL	1h10m21s	DVD	none	117	false
Baytekin - fezada çarpisanlar (Turkish Flash Gordon)	1967	tt0336004	DVD5	TUR/ENGsub	PAL	---	TV	TD#02	109	false
Begotten	1990	tt0101420	DVD5	ENG	NTSC	1h12m06s	DVD	full DVD	460	false
Bersaglio altezza uomo	1978	tt0078848	DVD5	ITA/GER	PAL	1h26m08s	DTT	none	614	false
Bill il taciturno	1967	tt0061404	DVD5	ITA	PAL	1h33m18s	DTT	none	377	false
Black Killer	1971	tt0066835	DVD5	ITA/FRE	PAL	1h31m01s	DVD	none	404	false
Blood Story (Storia di sangue)	1972	tt0209359	DVD5	ITA	PAL	1h21m38s	VHS	none	368	false
Blood tracks - Sentieri di sangue	1985	tt0088827	DVD5	ITA	PAL	---	DVD	retail	0	false
Bloody psycho	1989	tt0157412	DVD5	ITA/ENGsub	NTSC	---	DVD	full DVD	232	false
Blue Demon y Zovek en La invasión de los muertos	1973	tt0263475	DVD5	ESP/ENGsub	PAL	1h18m09s	VHS	none	557	false
Bob il baro	1976	tt0277598	DVD5	ITA	PAL	1h21m42s	TV	none	198	false
Bocche cucite	1970	tt0138332	DVD5	ITA/ENGsub	PAL	1h21m11s	Telecine	uncut and restored	442	false
Boxer dalle dita d'acciaio	1972	tt0187064	DVD5	ITA	PAL	1h21m39s	DTT	[ASIA]	326	false
Bruce and the Shaolin Bronzemen	1977	tt0083696	DVD5	ENG/FRE	PAL	1h19m21s	VHS + DVD	[ASIA] custom uncut mux	480	false
Bruce Lee - L'indomabile e il suo artiglio d'acciaio	1979	tt3141904	DVD5	ITA	PAL	1h06m24s	Telecine	[ASIA]	472	false
Bruce Lee contro la setta del serpente	1979	tt6631356	DVD5	ITA/ENG	PAL	1h22m50s	DVD	[ASIA] full DVD + extras	592	false
Bruce Lee il re del kung fu	1982	tt0079507	DVD5	ITA	PAL	1h23m24s	DVD	[ASIA] full DVD	487	false
Bruce Lee la bestia umana	1978	tt0079076	DVD5	ITA	PAL	1h23m49s	Telecine	[ASIA]	268	false
Bruce Lee supercampione	1976	tt0077850	DVD5	ITA/ENG	PAL	1h22m19s	DVD	[ASIA] full DVD	474	false
Bruka Queen of Evila	1973	tt0072868	DVD5	ZH/ENGhardsub	NTSC	1h36m30s	VHS	[ASIA]	0	false
Bruka: Queen of Evil	1973	tt1710543	DVD5	ZH/ENGhardsub	NTSC	1h36m30s	VHS	[ASIA] none	0	false
Buona parte di Paolina	1973	tt0069830	DVD5	ITA	PAL	1h22m10s	Telecine	none	78	false
C'è Sartana... vendi la pistola e comprati la bara!	1970	tt0065509	DVD9	ITA/FRE	PAL	1h28m22s	DVD	full DVD + extras	507	false
C'era una volta Pollicino	1972	tt0188140	DVD5	ITA/FRE	PAL	1h12m23s	DVD	full DVD + extras	689	false
C'era una volta questo pazzo, pazzo, pazzo West	1973	tt0150011	DVD5	ITA	PAL	1h17m43s	DVD	custom mux	431	false
Cade: The Tortured Crossing	2023	tt24786094	DVD5	ENG	NTSC	1h39m40s	DVD	full DVD	765	none
Canne mozze	1977	tt0159329	DVD5	ITA/ENGsub	PAL	1h26m48s	VHS	B.VANI watermark	324	false
Canterbury proibito	1972	tt0068335	DVD5	ITA	PAL	1h36m00s	VHS	none	17	false
Caperucita y Pulgarcito contra los monstruos	1962	tt0053694	DVD5	ESP/ENGsub	NTSC	1h21m17s	DVD	full DVD + extras	710	false
Capitan Rogers nel 25° secolo	1979	tt0077278	DVD5	ITA/ENG	PAL	1h24m54s	DVD	full DVD + extras	649	false
Cappuccetto Rosso (La caperucita roja)	1960	tt0053693	DVD5	ITA	PAL	0h50m35s	VHS	none	187	false
Cappuccetto Rosso (La caperucita roja)	1960	tt0053693	DVD5	ITA	PAL	1h24m43s	VHS	uncut	709	false
Caribbean Basterds (Caraibi e bastardi)	2010	tt1455613	DVD5	ITA/ENG	PAL	1h36m06s	DVD	none	533	false
Carioca tigre	1976	tt0160115	DVD5	ITA	PAL	---	Telecine	none	88	false
Casa dell'amore...la polizia interviene	1978	tt0074289	DVD5	ITA	PAL	---	VHS	none	142	false
Cash? Cash!	1967	tt0128982	DVD5	ITA	PAL	1h22m59s	Telecine	none	655	false
Cassiodoro il più duro del pretorio	1976	tt0074293	DVD5	ITA	PAL	---	Telecine	none	83	false
Casus Kiran (Turkish Spy Smasher)	1968	tt0334987	DVD5	TUR/ENGsub	PAL	---	DVD	none	110	false
Cat's	1984	NOimdb	DVD5	ITA	PAL	1h16m12s	Master	none	150	false
Caterina di Russia	1963	tt0055833	DVD9	ITA/FRE	PAL	1h38m42s	DVD	full DVD	493	false
Catman in Lethal Track	1990	tt0319153	DVD5	ENG	NTSC	1h30m08s	VHS	none	259	false
Causa di divorzio	1972	tt0138352	DVD5	ITA	PAL	1h34m27s	TV	none	191	false
Cellat (The Executioner)	1975	tt1332103	DVD5	TUR/ENGsub	PAL	1h22m28s	DVD	full DVD + extras	385	false
Centro della Terra: continente sconosciuto	1976	tt0074157	DVD5	ITA/ENG	PAL	1h26m51s	DVD	full DVD + extras	427	false
Challenge of the Tiger	1980	tt0077645	DVD9	ENG	NTSC	1h27m40s	DVD	[ASIA] full DVD	505	false
Champagne e...fagioli	1980	tt0122428	DVD5	ITA	PAL	---	TV	none	65	false
Che botte ragazzi!	1975	tt0072084	DVD5	ITA	PAL	1h27m40s	DVD	full DVD; uncut	416	false
Che c'entriamo noi con la rivoluzione?	1972	tt0069547	DVD5	ITA	PAL	1h36m29s	TV	none	0	false
Che carambole... ragazzi!!!...	1975	tt0451475	DVD5	ITA	PAL	1h21m01s	TV	none	698	false
Che notte quella notte!	1977	tt0162235	DVD5	ITA	PAL	1h35m02s	VHS	none	549	false
Chiamate 6969: taxi per signora	1981	tt0176410	DVD5	ITA	PAL	1h17m00s	VHS	none	0	false
Chiavi in mano	1996	tt0156397	DVD5	ITA	PAL	---	DTT	none	54	false
Chicken Park	1994	tt0167825	DVD5	ITA/ENG	PAL	---	DVD	custom ITA/ENG mux from ENG DVD;menu	6	false
Chiedi perdono a Dio...non a me	1968	tt0162244	DVD5	ITA/ENG	PAL	---	DVD	full DVD	325	false
Ciao Gulliver	1970	tt0165169	DVD5	ITA	PAL	2h14m03s	Telecine	24mins ca. blank tape	300	false
Cicciolina amore mio	1979	tt0078971	DVD5	ITA	PAL	1h23m09s	DVD	full DVD + extras	622	false
Çilgin kiz ve üç süper adam (3 Supermen and Mad Girl)	1973	tt0310293	DVD5	TUR	PAL	1h05m14s	VHS	new VHS2DVD transfer	0	false
